都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
232114,51,愛知県,豊田市,御幸南公園,ﾐﾕｷﾐﾅﾐｺｳｴﾝ,Miyukiminami park,豊田市御幸本町5丁目302番地5,,,35.051,137.14762,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,52,愛知県,豊田市,馬洗公園,ｳﾏｱﾗｲｺｳｴﾝ,Umaarai park,豊田市大林町17丁目12番地5,,,35.04749,137.1507,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,53,愛知県,豊田市,地楽公園,ﾁﾗｸｺｳｴﾝ,Chiraku park,豊田市大林町14丁目6番地10,,,35.05053,137.14334,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,54,愛知県,豊田市,坂下公園,ｻｶｼﾀｺｳｴﾝ,Sakashita park,豊田市大林町12丁目7番地１,,,35.0463,137.14157,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,55,愛知県,豊田市,白針公園,ｼﾗﾊﾘｺｳｴﾝ,Shirahari park,豊田市大林町11丁目17番地1,,,35.04474,137.14462,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,56,愛知県,豊田市,高根公園,ﾀｶﾈｺｳｴﾝ,Takane park,豊田市大林町10丁目17番地１,,,35.04284,137.14037,2,2,0,0,0,0,0,0,0,0,1,有,有,無,,,,,,
232114,57,愛知県,豊田市,花ケ崎公園,ﾊﾅｶﾞｻｷｺｳｴﾝ,Hanagasaki park,豊田市上野町6丁目107番地,,,35.08807,137.18146,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,58,愛知県,豊田市,藤塚公園,ﾌｼﾞﾂﾞｶｺｳｴﾝ,Fujitsuka park,豊田市上野町5丁目4番地,,,35.08926,137.18364,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,59,愛知県,豊田市,渋谷公園,ｼﾌﾞﾔｺｳｴﾝ,Shibuya park,豊田市渋谷町1丁目9番地,,,35.08446,137.1835,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,60,愛知県,豊田市,北山公園,ｷﾀﾔﾏｺｳｴﾝ,Kitayama park,豊田市美里2丁目30番地,,,35.0841,137.18597,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,61,愛知県,豊田市,広川公園,ﾋﾛｶﾜｺｳｴﾝ,Hirokawa park,豊田市広川町7丁目96番地,,,35.0856,137.17976,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,62,愛知県,豊田市,三ツ塚公園,ﾐﾂﾂﾞｶｺｳｴﾝ,Mituzuka park,豊田市野見山町1丁目96番地,,,35.07191,137.18269,2,1,1,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,63,愛知県,豊田市,田中山公園,ﾀﾅｶﾔﾏｺｳｴﾝ,Tanakayama park,豊田市田中町1丁目132番,,,35.06873,137.11244,2,1,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,64,愛知県,豊田市,どんぐり公園,ﾄﾞﾝｸﾞﾘｺｳｴﾝ,Donguri park,豊田市乙部ケ丘2丁目13番地17,,,35.15193,137.14067,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,65,愛知県,豊田市,やまもも公園,ﾔﾏﾓﾓｺｳｴﾝ,Yamamomo park,豊田市乙部ケ丘3丁目18番地１,,,35.15333,137.14356,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,66,愛知県,豊田市,さくら公園,ｻｸﾗｺｳｴﾝ,Sakura park,豊田市乙部ケ丘4丁目12番地3,,,35.15653,137.14358,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,67,愛知県,豊田市,白山公園,ﾊｸｻﾝｺｳｴﾝ,Hakusan park,豊田市京町7丁目19番地,,,35.10848,137.16325,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,68,愛知県,豊田市,梅ノ木公園,ｳﾒﾉｷｺｳｴﾝ,Umenoki park,豊田市梅坪町1丁目1番地,,,35.10799,137.16024,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,69,愛知県,豊田市,浅間公園,ｾﾝｹﾞｺｳｴﾝ,Senge park,豊田市梅坪町1丁目13番地,,,35.10585,137.15898,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,70,愛知県,豊田市,下町公園,ｼﾓﾏﾁｺｳｴﾝ,Shimomachi park,豊田市梅坪町2丁目4番地,,,35.10363,137.16041,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,71,愛知県,豊田市,京町公園,ｷｮｳﾏﾁｺｳｴﾝ,Kyomachi park,豊田市京町5丁目10番地,,,35.10585,137.16546,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,72,愛知県,豊田市,上河原公園,ｶﾐｶﾞﾜﾗｺｳｴﾝ,Kamigawara park,豊田市東梅坪町4丁目2番地,,,35.10503,137.16865,3,2,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
232114,73,愛知県,豊田市,高宮公園,ﾀｶﾐﾔｺｳｴﾝ,Takamiya park,豊田市東梅坪町4丁目11番地,,,35.10365,137.16591,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,74,愛知県,豊田市,中河原公園,ﾅｶｶﾞﾜﾗｺｳｴﾝ,Nakagawara park,豊田市東梅坪町6丁目7,,,35.10111,137.16709,2,1,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
